text,characters,words,page_number,font_size,is_bold,font_threshold_flag,y_position,x_position,relative_font_size,text_case,verbs,nouns,adjectives,adverbs,pronouns,cardinal_numbers,coordinating_conjunctions,starts_with_number,ends_with_colon,has_punctuation,relative_y_position,avg_word_length,word_density,verb_ratio,noun_ratio,adjective_ratio,is_short,is_very_short,is_heading,predicted_heading,heading_probability
USENIX Example Paper,20,3,1,14.0,1,1,107.1250228881836,227.83799743652344,1.4,3,0,0,0,0,0,0,0,0,0,0,1.0,6.666666666666667,0.15,0.0,0.0,0.0,1,1,0,0,0.16929522331030086
Pekka Nikander,14,2,1,10.0,0,0,140.1750030517578,219.31500244140625,1.0,2,0,0,0,0,0,0,0,0,0,0,0.9445187842364862,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,0,0,0.010159461760102033
Aalto University,16,2,1,10.0,0,0,152.1750030517578,218.69500732421875,1.0,2,0,0,0,0,0,0,0,0,0,0,0.9243743065131396,8.0,0.125,0.0,0.0,0.0,1,1,0,0,0.010620286262409441
Jane-Ellen Long,15,2,1,10.0,0,0,140.1750030517578,316.2449951171875,1.0,2,0,0,0,0,0,0,0,0,0,0,0.9445187842364862,7.5,0.13333333333333333,0.0,0.0,0.0,1,1,0,0,0.010159461760102033
USENIX Association,18,2,1,10.0,0,0,152.1750030517578,306.7850036621094,1.0,3,0,0,0,0,0,0,0,0,0,0,0.9243743065131396,9.0,0.1111111111111111,0.0,0.0,0.0,1,1,0,0,0.010620286262409441
Abstract,8,1,1,12.0,1,1,184.0500030517578,160.33799743652344,1.2,2,0,0,0,0,0,0,0,0,0,0,0.8708655375605003,8.0,0.125,0.0,0.0,0.0,1,1,0,0,0.1403368202330246
"This is an example for a USENIX paper, in the form",50,11,1,10.0,0,0,202.1750030517578,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.8404389826658623,4.545454545454546,0.22,0.0,0.0,0.0,0,0,0,0,0.01299933926539465
of an HTML/CSS template. Being heavily self-ref-,48,7,1,10.0,0,0,214.1750030517578,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.8202945049425158,6.857142857142857,0.14583333333333334,0.0,0.0,0.0,1,0,0,0,0.013684670490934527
"erential, this template illustrates the features in-",52,7,1,10.0,0,0,226.1750030517578,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.8001500272191692,7.428571428571429,0.1346153846153846,0.0,0.0,0.0,1,0,0,0,0.014417850212927186
cluded in this template. It is expected that the,48,9,1,10.0,0,0,238.1750030517578,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7800055494958226,5.333333333333333,0.1875,0.0,0.0,0.0,1,0,0,0,0.015202177926447418
prospective authors using HTML/CSS would create,47,6,1,10.0,0,0,250.1750030517578,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.7598610717724761,7.833333333333333,0.1276595744680851,0.0,0.0,0.0,1,0,0,0,0.019383258564963927
"a new document based on this template, remove",45,8,1,10.0,0,0,262.17498779296875,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.7397166196641575,5.625,0.17777777777777778,0.0,0.0,0.0,1,0,0,0,0.01695335054378924
"the content, and start writing their paper.",43,7,1,10.0,0,0,274.17498779296875,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.719572141940811,6.142857142857143,0.16279069767441862,0.0,0.0,0.0,1,0,0,0,0.017930479958515776
"Note that in this template, you may have a mul-",47,10,1,10.0,0,0,286.17498779296875,87.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6994276642174644,4.7,0.2127659574468085,0.0,0.0,0.0,1,0,0,0,0.018997006373407236
"ti-paragraph abstract. However, that it is not nec-",51,8,1,10.0,0,0,298.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6792831864941179,6.375,0.1568627450980392,0.0,0.0,0.0,1,0,0,0,0.020176007367423913
essarily a good practice. Try to keep your abstract,51,9,1,10.0,0,0,310.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6591387087707713,5.666666666666667,0.17647058823529413,0.0,0.0,0.0,1,0,0,0,0.021504848427793568
"in one paragraph, and remember that the optimal",47,8,1,10.0,0,0,322.17498779296875,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.6389942310474247,5.875,0.1702127659574468,0.0,0.0,0.0,1,0,0,0,0.023022917948042298
length for an abstract is 200-300 words.,40,7,1,10.0,0,0,334.17498779296875,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.6188497533240782,5.714285714285714,0.175,0.0,0.0,0.0,1,0,0,0,0.02479918824948531
1 Introduction,14,2,1,12.0,1,1,358.0500183105469,72.0,1.2,2,0,0,0,0,0,0,0,1,0,0,0.5787705849569472,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,1,1,0.9657227043299969
For the purposes of USENIX conference publica-,46,7,1,10.0,0,0,376.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.5483440812923652,6.571428571428571,0.15217391304347827,0.0,0.0,0.0,1,0,0,0,0.040055241606484396
"tions, the authors, not the USENIX staff, are solely",52,9,1,10.0,0,0,388.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.5281996035690187,5.777777777777778,0.17307692307692307,0.0,0.0,0.0,1,0,0,0,0.043185067175228374
responsible for the content and formatting of their,51,8,1,10.0,0,0,400.17498779296875,72.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5080551258456721,6.375,0.1568627450980392,0.0,0.0,0.0,1,0,0,0,0.05565194714803682
paper. The purpose of this template is to help,46,9,1,10.0,0,0,412.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.4879106481223256,5.111111111111111,0.1956521739130435,0.0,0.0,0.0,1,0,0,0,0.059286883544183294
those authors that want to use HTML/CSS to write,48,9,1,10.0,0,0,424.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.46776617039897905,5.333333333333333,0.1875,0.0,0.0,0.0,1,0,0,0,0.0602968946665374
their papers. This template has been prepared by,48,8,1,10.0,0,0,436.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.44762169267563245,6.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0.06883036585814623
"Håkon Wium Lie, and is based on a guide to using",48,11,1,10.0,0,0,448.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.4274772149522859,4.363636363636363,0.22916666666666666,0.0,0.0,0.0,0,0,0,0,0.07783118292167539
"FrameMaker for USENIX papers, written by Pekka",46,7,1,10.0,0,0,460.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.40733273722893937,6.571428571428571,0.15217391304347827,0.0,0.0,0.0,1,0,0,0,0.0873001585355147
Nikander with the help of Jane-Ellen Long.,42,7,1,10.0,0,0,472.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.3871882595055928,6.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0.09689283575878964
The rest of this paper is organized as follows.,47,9,1,10.0,0,0,484.17498779296875,87.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.3670437817822463,5.222222222222222,0.19148936170212766,0.0,0.0,0.0,1,0,0,0,0.10408134841118093
"Section 2 gives a brief overview of related work,",49,9,1,10.0,0,0,496.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.3468993040588997,5.444444444444445,0.1836734693877551,0.0,0.0,0.0,1,0,0,0,0.11246068122681586
such as other templates and style manuals. Section,50,8,1,10.0,0,0,508.17498779296875,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.32675482633555314,6.25,0.16,0.0,0.0,0.0,1,0,0,0,0.1311649268482861
"3 discusses the details of this template, and Sec-",50,9,1,10.0,0,0,520.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,1,0,1,0.3066103486122066,5.555555555555555,0.18,0.0,0.0,0.0,1,0,1,0,0.456022461362466
tion 4 contains our conclusions.,32,5,1,10.0,0,0,532.1749877929688,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.28646587088886005,6.4,0.15625,0.0,0.0,0.0,1,1,0,0,0.18958102812066946
2 Related Work,14,3,1,12.0,1,1,556.0499877929688,72.0,1.2,2,0,0,0,0,0,0,0,1,0,0,0.24638675375178512,4.666666666666667,0.21428571428571427,0.0,0.0,0.0,1,1,1,1,0.993365417693331
Preparing good-looking publications is not easy.,48,6,1,10.0,0,0,574.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.2159601988571471,8.0,0.125,0.0,0.0,0.0,1,0,0,0,0.1332931594723938
It requires understanding of style and typography.,50,7,1,10.0,0,0,586.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.19581572113380055,7.142857142857143,0.14,0.0,0.0,0.0,1,0,0,0,0.12754482945973486
The purpose of the templates provided by the,44,8,1,10.0,0,0,598.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.17567124341045398,5.5,0.18181818181818182,0.0,0.0,0.0,1,0,0,0,0.12608652381085486
USENIX organization is to lift the burden of caring,51,9,1,10.0,0,0,610.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.15552676568710744,5.666666666666667,0.17647058823529413,0.0,0.0,0.0,1,0,0,0,0.12618104595973992
"about typography from the authors. However, the",47,7,1,10.0,0,0,622.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.1353822879637609,6.714285714285714,0.14893617021276595,0.0,0.0,0.0,1,0,0,0,0.11883085991521525
"authors still remain, and will always remain, re-",49,8,1,10.0,0,0,634.1749877929688,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.11523781024041432,6.125,0.16326530612244897,0.0,0.0,0.0,1,0,0,0,0.119744159912264
sponsible for the style.,24,4,1,10.0,0,0,646.1749877929688,72.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.09509333251706778,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.1074019833578055
2.1 Word and LaTeX templates,28,5,1,12.0,1,1,670.0499877929688,72.0,1.2,3,0,0,0,0,0,0,0,0,0,1,0.055014215379992855,5.6,0.17857142857142858,0.0,0.0,0.0,1,1,0,1,0.6182139738434324
The USENIX website includes a template for Mi-,46,8,1,10.0,0,0,688.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.024587660485354833,5.75,0.17391304347826086,0.0,0.0,0.0,1,0,0,0,0.09630666583249281
"crosoft Word, as well as LaTeX templates. Many of",49,9,1,10.0,0,0,700.1749877929688,72.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.004443182762008277,5.444444444444445,0.1836734693877551,0.0,0.0,0.0,1,0,0,0,0.09451736642695764
Figure 1: This figure is showed for illustrational purpos-,58,9,1,9.0,1,0,424.4842834472656,315.0,0.9,3,0,0,0,0,0,0,0,0,0,0,0.46724695378081976,6.444444444444445,0.15517241379310345,0.0,0.0,0.0,1,0,0,0,0.0077569108718315094
es only; floppy disks are not required to use this tem-,55,11,1,9.0,0,0,435.2843017578125,315.0,0.9,0,0,0,0,0,0,0,0,0,0,1,0.4491168930917742,5.0,0.2,0.0,0.0,0.0,0,0,0,0,0.008033638469524288
plate.,6,1,1,9.0,0,0,446.08428955078125,315.0,0.9,0,0,0,0,0,0,0,0,0,0,1,0.43098688363278476,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.009018192283542411
the settings in the CSS style sheet of this template,52,10,1,10.0,0,0,474.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.38274507674358454,5.2,0.19230769230769232,0.0,0.0,0.0,1,0,0,0,0.09895781093150381
have been copied from the LaTeX templates.,42,7,1,10.0,0,0,486.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.362600599020238,6.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0.10599611873722854
2.2 Style manuals,17,3,1,12.0,1,1,510.6968078613281,315.0,1.2,3,0,0,0,0,0,0,0,0,0,1,0.322521430653107,5.666666666666667,0.17647058823529413,0.0,0.0,0.0,1,1,0,1,0.6711298642437503
"Besides typography, style is the second element",47,7,1,10.0,0,0,528.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.292094926988525,6.714285714285714,0.14893617021276595,0.0,0.0,0.0,1,0,0,0,0.18535467571476835
of preparing easy-to-read publications. There are,49,6,1,10.0,0,0,540.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.2719504492651785,8.166666666666666,0.12244897959183673,0.0,0.0,0.0,1,0,0,0,0.1357162954175668
tens of good style manuals available. To mention,48,8,1,10.0,0,0,552.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.25180597154183193,6.0,0.16666666666666666,0.0,0.0,0.0,1,0,0,0,0.13666916653857453
"just a couple, The Elements of Style by Strunk and",50,10,1,10.0,0,0,564.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.2316614938184854,5.0,0.2,0.0,0.0,0.0,1,0,0,0,0.13951345511490976
"White [1] is a classic, and has remained a bestseller",53,10,1,10.0,0,0,576.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.21151701609513882,5.3,0.18867924528301888,0.0,0.0,0.0,1,0,0,0,0.13116799930116624
since its introduction in 1930’s. From the more,47,8,1,10.0,0,0,588.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.19137253837179227,5.875,0.1702127659574468,0.0,0.0,0.0,1,0,0,0,0.13190788016408628
"contemporary ones, Writing for Computer Science",47,6,1,10.0,0,0,600.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.17122806064844573,7.833333333333333,0.1276595744680851,0.0,0.0,0.0,1,0,0,0,0.12699222253661988
by Justin Zobel [2] seems appropriate.,38,6,1,10.0,0,0,612.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.15108358292509916,6.333333333333333,0.15789473684210525,0.0,0.0,0.0,1,0,0,0,0.12530922798047806
3 Implementation,16,2,1,12.0,1,1,636.69677734375,315.0,1.2,2,0,0,0,0,0,0,0,1,0,0,0.11100446578802424,8.0,0.125,0.0,0.0,0.0,1,1,1,1,0.9177563200311031
In this section we cover the features included in,49,9,1,10.0,0,0,654.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0.08057791089338621,5.444444444444445,0.1836734693877551,0.0,0.0,0.0,1,0,0,0,0.10465958834546922
this template. Our goal has been that the authors,49,9,1,10.0,0,0,666.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.060433433170039665,5.444444444444445,0.1836734693877551,0.0,0.0,0.0,1,0,0,0,0.10117421945106682
do not need to make modifications to the template;,50,9,1,10.0,0,0,678.82177734375,315.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.04028895544669311,5.555555555555555,0.18,0.0,0.0,0.0,1,0,0,0,0.09819082820158144
"instead, they should be able to concentrate on the",50,9,1,10.0,0,0,690.82177734375,315.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0.020144477723346554,5.555555555555555,0.18,0.0,0.0,0.0,1,0,0,0,0.0958496729480854
"content and style. With this in mind, this template",51,9,1,10.0,0,0,702.82177734375,315.0,1.0,3,0,0,0,0,0,0,0,0,0,1,0.0,5.666666666666667,0.17647058823529413,0.0,0.0,0.0,1,0,0,0,0.09422161841371139
F1,2,1,2,3.4036524295806885,0,0,110.9939956665039,136.3092041015625,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F2,2,1,2,3.4036524295806885,0,0,110.9939956665039,155.30503845214844,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F3,2,1,2,3.4036524295806885,0,0,110.9939956665039,174.30084228515625,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F4,2,1,2,3.4036524295806885,0,0,110.9939956665039,193.29666137695312,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F5,2,1,2,3.4036524295806885,0,0,110.9939956665039,222.363525390625,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F6,2,1,2,3.4036524295806885,0,0,110.9939956665039,241.35934448242188,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F7,2,1,2,3.4036524295806885,0,0,110.9939956665039,260.3551940917969,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F8,2,1,2,3.4036524295806885,0,0,110.9939956665039,279.3509826660156,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F9,2,1,2,3.4036524295806885,0,0,110.9939956665039,306.9593200683594,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F10,3,1,2,3.4036524295806885,0,0,110.9939956665039,325.95513916015625,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F11,3,1,2,3.4036524295806885,0,0,110.9939956665039,344.9509582519531,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
F12,3,1,2,3.4036524295806885,0,0,110.9939956665039,363.9467468261719,0.34036524295806886,1,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
Esc,3,1,2,3.4036524295806885,0,0,110.9939956665039,98.83684539794922,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
Power,5,1,2,3.4036524295806885,0,0,110.9939956665039,386.72796630859375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
Sleep,5,1,2,3.4036524295806885,0,0,110.9939956665039,405.7237854003906,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9587675139967312,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.003299113942731382
Wake,4,1,2,3.4036524295806885,0,0,108.95203399658203,424.7195739746094,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9620542658144261,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.003361095188515038
Up,2,1,2,3.4036524295806885,0,0,112.34989166259766,424.7195739746094,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9565850569528941,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.003257937781746076
Print,5,1,2,3.4036524295806885,0,0,130.44129943847656,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9274650356185536,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.0027117938304773398
Scrn,4,1,2,3.4036524295806885,0,0,133.83917236328125,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9219958021963977,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0026109626786071853
SysRq,5,1,2,3.4036524295806885,0,0,137.23707580566406,386.48486328125,0.34036524295806886,3,0,0,0,0,0,0,0,0,0,0,0.9165265196529937,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.002511050304393189
Scroll,6,1,2,3.4036524295806885,0,0,131.8026123046875,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9252738595532157,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.00267129631575988
Lock,4,1,2,3.4036524295806885,0,0,135.2004852294922,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9198046261310597,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0025708156906038286
Pause,5,1,2,3.4036524295806885,0,0,131.8026123046875,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9252738595532157,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.00267129631575988
Break,5,1,2,3.4036524295806885,0,0,135.2004852294922,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.9198046261310597,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.0025708156906038286
Insert,6,1,2,3.4036524295806885,0,0,152.8057098388672,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8914671676771971,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.0020691015156303386
Home,4,1,2,3.4036524295806885,0,0,152.8057098388672,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8914671676771971,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0020691015156303386
Page,4,1,2,3.4036524295806885,0,0,150.7637481689453,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8947539194948921,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.002125308715215292
Up,2,1,2,3.4036524295806885,0,0,154.16160583496094,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.88928471063336,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.0020321161073096282
Delete,6,1,2,3.4036524295806885,0,0,171.76683044433594,386.48486328125,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8609472521794975,6.0,0.16666666666666666,0.0,0.0,0.0,1,1,0,0,0.0015797626776629242
End,3,1,2,3.4036524295806885,0,0,171.76683044433594,405.4806823730469,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8609472521794975,3.0,0.3333333333333333,0.0,0.0,0.0,1,1,0,0,0.0015797626776629242
Page,4,1,2,3.4036524295806885,0,0,169.72486877441406,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8642340039971924,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.001629336185399079
Down,4,1,2,3.4036524295806885,0,0,173.1227264404297,424.47650146484375,0.34036524295806886,2,0,0,0,0,0,0,0,0,0,0,0.8587647951356604,4.0,0.25,0.0,0.0,0.0,1,1,0,0,0.0015472987291305763
½,1,1,2,4.424261569976807,0,0,136.98301696777344,98.39469146728516,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
1,1,1,2,4.424261569976807,0,0,136.98301696777344,116.66535949707031,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
2,1,1,2,4.424261569976807,0,0,136.9829559326172,135.61671447753906,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169355522841897,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215367215625881
3,1,1,2,4.424261569976807,0,0,136.98301696777344,155.24871826171875,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
4,1,1,2,4.424261569976807,0,0,136.98301696777344,174.20004272460938,0.4424261569976807,3,0,0,0,0,0,0,0,0,0,0,0.9169354540416939,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0016215351708811344
